"","ctuniq","lot","bldgclass","borocode","borough","id","x","y"
"12312","BX026601",5,"K2",2,"BX","12312",-73.8331988388501,40.8466450757751
"12313","BX026602",3,"K1",2,"BX","12313",-73.8308492043338,40.8439079216316
"12314","BX026602",7,"K1",2,"BX","12314",-73.83007521563,40.844118126868
"12315","BX026602",8,"K4",2,"BX","12315",-73.8302594657701,40.8441485899791
"12316","BX026602",19,"K1",2,"BX","12316",-73.8304817243747,40.8448652866255
"12317","BX026602",25,"K1",2,"BX","12317",-73.8308602417654,40.8452528466057
"12318","BX026602",16,"K1",2,"BX","12318",-73.8322630356137,40.8465147174003
"12319","BX026602",18,"K1",2,"BX","12319",-73.8323204714678,40.8466712494185
"12320","BX026602",23,"K1",2,"BX","12320",-73.8320433410056,40.8462042453979
"12321","BX026602",25,"K4",2,"BX","12321",-73.8318989950207,40.8461134596727
"12322","BX026602",26,"K1",2,"BX","12322",-73.8320184216151,40.8460532500062
"12323","BX026602",30,"K1",2,"BX","12323",-73.8317192418171,40.845731682735
"12324","BX026602",32,"K1",2,"BX","12324",-73.8317592564712,40.8456301867875
"12325","BX026602",33,"K1",2,"BX","12325",-73.8315353897827,40.8455420292985
"12326","BX026602",34,"K1",2,"BX","12326",-73.8316223700557,40.8454488361103
"12327","BX026602",5,"K1",2,"BX","12327",-73.8310614099087,40.8457389553165
"12328","BX026602",16,"K1",2,"BX","12328",-73.8313422711734,40.846156562403
"12329","BX026602",19,"K2",2,"BX","12329",-73.8314358552843,40.8463104030108
"12330","BX026602",20,"K1",2,"BX","12330",-73.8315875340637,40.8463600293549
"12331","BX026602",28,"K1",2,"BX","12331",-73.8318826646353,40.8468545078034
"12332","BX026602",32,"K1",2,"BX","12332",-73.8315893417403,40.8470736567912
"12333","BX026602",1,"M1",2,"BX","12333",-73.8278727894624,40.8460306701795
"12334","BX026602",3,"K1",2,"BX","12334",-73.830819002778,40.8472564251771
"12335","BX026601",56,"K1",2,"BX","12335",-73.8326116145725,40.8473166792439
"12336","BX026601",57,"K1",2,"BX","12336",-73.8327671662722,40.8472647553585
"12337","BX026601",1,"K4",2,"BX","12337",-73.8321811716699,40.8474450552244
"12338","BX026601",2,"K4",2,"BX","12338",-73.8322677244263,40.8475220329992
"12339","BX026601",4,"K1",2,"BX","12339",-73.8318987529339,40.8476395184491
"12340","BX026601",44,"K1",2,"BX","12340",-73.8317419708217,40.8481772530679
"12341","BX026601",47,"K1",2,"BX","12341",-73.831652074258,40.8479932263331
"12342","BX026601",49,"K4",2,"BX","12342",-73.8317788791477,40.8478753887826
"12343","BX026601",60,"K1",2,"BX","12343",-73.8322717887233,40.8473436327343
"12344","BX026601",14,"K4",2,"BX","12344",-73.8308831062765,40.8490543043016
"12345","BX026602",1,"K1",2,"BX","12345",-73.8311867481151,40.8476220104212
"12346","BX026602",5,"K1",2,"BX","12346",-73.8310563491172,40.8477316079322
"12347","BX026602",6,"K2",2,"BX","12347",-73.8310451223225,40.8478825505545
