"","BoroCT2000","Name","popdens","povrate","unemp","busdens","subdens","subacc","intdens","landind","nonres","resid","ptrans","pwalk","propoa","propnonw","offpcap","avg_er_charges_tot","avg_charges_tot","avgChronCond","ctrdlong","ctrdlat"
"1234",3072200,NA,12150.13745,0.140387275,0.106569343,37.093364,0,0,61.82227333,0.907573136,0.347991066,0.652008934,0.474031327,0.031327288,0.128561737,0.920624152,0.019976862,1853.25373134328,51246.7192825112,5.07692307692308,-73.923978,40.631572
"1235",3072400,NA,11024.39764,0.11880216,0.111468382,59.53282965,0,0,108.2415085,0.971758892,0.415974546,0.584025454,0.477411477,0.004884005,0.097692685,0.969563083,0.019976862,1375.29161290323,41999.1338888889,4.71794871794872,-73.927361,40.633407
"1236",3072600,NA,9503.606929,0.06365834,0.084958217,42.11912821,0,0,88.06726808,0.993077814,0.541599837,0.458400163,0.46745098,0.018823529,0.096293312,0.925060435,0.019976862,1654.77446808511,38920.6955714286,5.11764705882353,-73.933232,40.63296
"1237",3072800,NA,18283.29671,0.090909091,0.076289791,14.5220784,0,0,67.7696992,0.489749488,0.142840893,0.857159107,0.498120301,0.01754386,0.125231665,0.87159121,0.019976862,1344.88247311828,33974.5651373626,4.80314960629921,-73.926217,40.629057
"1238",3073000,NA,13760.69609,0.113456464,0.066202091,36.05422556,0,0,90.13556389,0.589373791,0.179599388,0.820400612,0.478087649,0.009960159,0.085152838,0.846724891,0.019976862,1493.21324324324,49682.0242723005,5.48,-73.929182,40.625355
"1239",3073200,NA,14880.15292,0.065711879,0.077102804,18.74074676,0,0,99.95064937,0.228304715,0.060769057,0.939230943,0.496049166,0.018437226,0.101175483,0.922334173,0.019976862,1806.68,50686.3675460123,5.87719298245614,-73.933021,40.626781
"1240",3073400,NA,14009.07306,0.14838086,0.111455108,0,0,0,67.70939129,0.591254553,0.180333984,0.819666016,0.516666667,0.020238095,0.054615756,0.966650556,0.019976862,1635.33333333333,45493.5564227642,4.95238095238095,-73.937717,40.626532
"1241",3073600,NA,19098.41326,0.165687427,0.094657375,44.26051741,0,0,171.509505,0.585900807,0.178247303,0.821752697,0.519758875,0.036168788,0.087775203,0.829663963,0.019976862,1302.25307692308,41030.2555063291,5.25,-73.935656,40.624371
"1242",3073800,NA,18869.75531,0.169645562,0.060913706,74.20048972,0,0,131.2777895,0.688995863,0.221161275,0.778838725,0.485015773,0.042586751,0.0892317,0.618874773,0.019976862,1667.86528571429,49509.5559574468,6.45454545454545,-73.938657,40.622002
"1243",3074000,NA,22461.11307,0.175821143,0.114595211,18.59876876,0,0,99.1934334,0.682538931,0.218281582,0.781718419,0.564337035,0.056825604,0.055202871,0.881589843,0.019976862,1618.83382352941,41988.8614450867,5.2741935483871,-73.941364,40.627005
"1244",3074200,NA,18039.06301,0.104770531,0.074504443,16.22217896,0,0,64.88871585,0.569759086,0.172036239,0.827963761,0.58411215,0.021806854,0.067146283,0.711330935,0.019976862,1652.6701754386,67104.4537234043,5.67692307692308,-73.944615,40.628037
"1245",3074400,NA,13643.29797,0.070093458,0.066390042,11.5572198,0,0,57.78609898,0.21720275,0.05762085,0.94237915,0.310614525,0.063687151,0.085980517,0.104616688,0.019976862,1746.41738461538,47502.1654,6.02857142857143,-73.942323,40.620979
"1246",3074600,NA,10180.02041,0.137207031,0.09688196,39.63024977,0,0,138.7058742,0.998717358,0.482093001,0.517906999,0.463078849,0.048811014,0.144525547,0.329440389,0.019976862,1422.75741935484,36261.3775555556,5.87012987012987,-73.941824,40.618121
"1247",3074800,NA,11662.61395,0.056028014,0.058096415,51.85944937,0,0,40.33512729,0.944751571,0.382475078,0.617524922,0.473753281,0.00656168,0.072134387,0.282608696,0.026666265,1647.15458333333,34977.285026455,6.01492537313433,-73.94666,40.622908
"1248",3075000,NA,18957.34597,0.124205845,0.070979335,12.04405716,0,0,42.15420006,0.450633081,0.129403549,0.870596452,0.358472086,0.076395691,0.108958069,0.1454892,0.026666265,1290.8702970297,44255.8654120879,7.032,-73.948999,40.625138
"1249",3075200,NA,7163.939274,0.028816199,0.016528926,27.89695979,0,0,33.47635175,0.051693839,0.013094937,0.986905063,0.321041215,0.034707158,0.113707165,0,0.026666265,2215.17083333333,52221.0824583333,6.08433734939759,-73.952159,40.627158
"1250",3075400,NA,8814.514866,0.083756345,0.019354839,11.18593257,0,0,33.55779771,0.872038711,0.321141614,0.678858386,0.354409318,0.056572379,0.133248731,0.024746193,0.026666265,2509.2808,42006.9005645161,5.83908045977012,-73.950858,40.620029
"1251",3075600,NA,11389.49457,0.082942097,0.049095607,5.941311723,0,0,65.35442895,0.165915013,0.043358733,0.956641267,0.270380435,0.135869565,0.12467397,0.10485133,0.026666265,1458.73863636364,35804.0075119617,5.69444444444444,-73.947698,40.617899
"1252",3075800,NA,9101.947459,0.071871768,0.047619048,4.706281003,0,0,61.18165303,0.159530448,0.041614368,0.958385632,0.362601626,0.056910569,0.155635988,0.080144778,0.026666265,1809.1452688172,37939.4841079812,6.30821917808219,-73.951946,40.615795
"1253",3076000,NA,17186.92576,0.196052191,0.106485963,34.45424476,0,0,51.68136714,0.432457514,0.123322921,0.876677079,0.467759563,0.084153006,0.186435015,0.101904444,0.026666265,1628.36257425743,48487.2936229947,6.95419847328244,-73.955201,40.621993
"1254",3076200,NA,25000.93667,0.204579823,0.094974874,37.46661457,0,0,48.17136159,0.228896102,0.060937391,0.939062609,0.581027668,0.062111801,0.147719974,0.354527938,0.026666265,1559.80377358491,42385.8432284264,6.98529411764706,-73.95674,40.624262
"1255",3076400,NA,25123.65074,0.224578313,0.122807018,30.26945872,0,0,60.53891744,0.331652652,0.091237432,0.908762568,0.638106651,0.043139605,0.096626506,0.728674699,0.026666265,1826.32621621622,36223.7880859375,5.70454545454545,-73.957929,40.63138
"1256",3076600,NA,28801.51704,0.175716118,0.075675676,36.94080851,0,0,49.25441135,0.331808235,0.091285012,0.908714988,0.564612326,0.038767396,0.056861907,0.905942711,0.026666265,1127.5984,34466.3315463918,4.79411764705882,-73.955814,40.63182
"1257",3077000,NA,18735.32014,0.096563012,0.139534884,36.60433761,0,0,48.80578349,0.741249401,0.245662331,0.754337669,0.624190065,0.034557235,0.083686096,0.877564311,0.026666265,1623.92611111111,43336.5630128205,4.67857142857143,-73.953714,40.636622
"1258",3077200,NA,8345.745859,0.156916514,0.087989724,12.58026207,0,0,52.8371007,0.748308204,0.750844472,0.249155528,0.543859649,0.06505848,0.093457944,0.691287308,0.026666265,2107.75845454545,44188.2865882353,5.93162393162393,-73.953435,40.632353
"1259",3077400,NA,21501.45019,0.199676898,0.079913607,62.00354109,13.77856469,1,96.44995281,0.971479852,0.415560453,0.584439547,0.615689382,0.039619651,0.070169817,0.731175905,0.026666265,1545.93931034483,69977.1136774193,6.14285714285714,-73.946419,40.630732
"1260",3077600,NA,23468.80692,0.115945552,0.088003705,0,0,0,51.2295082,0.35687241,0.099023819,0.900976181,0.611932418,0.0374868,0.133640553,0.88260975,0.019976862,1355.36294736842,45010.5396676737,5.17391304347826,-73.941802,40.630182
"1261",3078000,NA,15837.37573,0.081310212,0.078660436,24.01421642,0,0,60.03554104,0.413434972,0.117062333,0.882937667,0.505647263,0.06342311,0.096285064,0.922289613,0.023659578,1870.28592592593,41458.1890476191,4.60606060606061,-73.939012,40.633058
"1262",3078200,NA,24519.95972,0.189765458,0.157845868,5.787104017,0,0,40.50972812,0.026501352,0.006669824,0.993330176,0.699435028,0.032768362,0.068444654,0.977814491,0.023659578,1831.7625862069,31126.7731,4.5,-73.940467,40.637582
"1263",3078400,NA,16737.73076,0.10428101,0.106811146,24.43464344,0,0,42.76062602,0.496422456,0.145184011,0.854815989,0.570915619,0.037701975,0.072992701,0.94890511,0.023659578,2011.1674,44744.2240972222,5.32692307692308,-73.942923,40.632742
"1264",3078600,NA,25724.86084,0.210031348,0.145123658,69.07548223,34.53774112,1,63.31919205,0.764638321,0.257429557,0.742570443,0.67583047,0.034936999,0.091966883,0.927053032,0.023659578,1198.04,30294.9581451613,4.8735632183908,-73.946992,40.63486
"1265",3078800,NA,23549.88833,0.275496689,0.14479638,18.71514305,0,0,74.86057218,0.819332551,0.287475031,0.712524969,0.717192983,0.049122807,0.07205298,0.962649007,0.026666265,1503.08684210526,29044.2940384615,4.55357142857143,-73.94909,40.637022
"1266",3079000,NA,31613.53153,0.206837607,0.073426573,26.75485065,0,0,101.6684325,0.543348361,0.162119977,0.837880023,0.740191805,0.054489974,0.079045362,0.987643873,0.023659578,1842.32338983051,41145.3546231156,4.55714285714286,-73.95326,40.639819
