ctuniq,boroCT2000,ctrdlong,ctrdlat,popdens,povrate,unemp,busdens,subdens,subacc,intdens,landind,nonres,resid,ptrans,pwalk,propoa,propnonw,borocodenum
MN013600,1013600,-73.948311000,40.772763000,65609.216228,0.0611567018,0.0346341463,42.731025288,0,0,72.64274299,0.5741963622,0.1737318443,0.8262681557,0.664862657,0.1308077198,0.1187964048,0.0972385046,1
MN013700,1013700,-73.981212000,40.765589000,31181.330654,0.0573782551,0.0219543693,100.92530151,77.987732988,1,64.225191873,0.6176425749,0.8091752841,0.1908247159,0.3576188361,0.4653487339,0.1790495807,0.1622774754,1
MN013800,1013800,-73.952914000,40.774641000,69969.486824,0.0570128258,0.025862069,27.73925104,0,0,61.026352288,0.7468540161,0.2484319258,0.7515680742,0.65408732,0.1369019972,0.1414525848,0.1126704726,1
MN013900,1013900,-73.987486000,40.768145000,55327.104915,0.108257444,0.0444753301,56.485048408,11.297009682,1,33.891029045,0.9872484254,0.5564614351,0.4435385649,0.4922669023,0.3708940934,0.1107708014,0.2263399694,1
MN014000,1014000,-73.957530000,40.775736000,44128.024767,0.0372710859,0.0175438596,34.146008332,22.764005554,1,102.43802499,0.5945751738,0.1816351047,0.8183648953,0.693054676,0.1450284991,0.1440546815,0.068093887,1
MN014200,1014200,-73.962297000,40.777721000,27712.083693,0.0201166767,0.0210144928,44.517403522,0,0,94.599482485,0.8544911547,0.3092718916,0.6907281084,0.4776632302,0.212294769,0.2128514056,0.0419678715,1
MN014300,1014300,-73.966921000,40.781217000,3.7978253019,0,0,18.356155626,1.5824272091,1,31.648544183,,,,1,0,0,1,1
MN014401,1014401,-73.948634000,40.776163000,71180.960149,0.0484960098,0.0186195827,87.392216267,0,0,72.826846889,0.5148821268,0.1517479816,0.8482520184,0.6350364964,0.1151293962,0.1579701248,0.0869654185,1
MN014402,1014402,-73.945393000,40.776516000,39517.627485,0.0626920713,0.0284817224,36.432969408,0,0,66.793777249,0.5184105285,0.1530167614,0.8469832386,0.7038434332,0.0952605518,0.1204671174,0.1077135833,1
MN014500,1014500,-73.983395000,40.768960000,24016.95049,0.0720319099,0.0496156534,33.810817207,16.905408604,1,78.891906817,0.8210057109,0.7115385834,0.2884614166,0.5867213726,0.2480417755,0.0957297044,0.2099953074,1
MN014601,1014601,-73.951366000,40.776461000,53346.186746,0.0791550013,0.0213184651,54.310192665,0,0,40.732644499,0.9046306276,0.34559034,0.65440966,0.7343854936,0.0805910007,0.0549758208,0.1486383304,1
MN014602,1014602,-73.952205000,40.779374000,76314.069648,0.0642280401,0.0223815352,28.008589301,0,0,28.008589301,0.629173757,0.1955224791,0.8044775209,0.7574762947,0.0773158279,0.1016638121,0.1442378273,1
MN014700,1014700,-73.988953000,40.771249000,25723.246887,0.0373971578,0.0362116992,11.703024061,0,0,58.515120307,0.9384078614,0.3759111825,0.6240888175,0.4359351988,0.4278350515,0.0268425842,0.3603275705,1
MN014801,1014801,-73.956719000,40.779542000,56723.137529,0.0297639412,0.0276273023,38.811589141,77.623178281,1,116.43476742,0.9180646747,0.356878264,0.643121736,0.7261904762,0.1014739229,0.1262401642,0.0735545672,1
MN014802,1014802,-73.955296000,40.781485000,55036.640919,0.0660716856,0.0286329386,23.767082591,31.689443454,1,126.75777382,0.8587365282,0.3120748342,0.6879251658,0.702447788,0.1152032338,0.1121347344,0.0901108392,1
MN014900,1014900,-73.982502000,40.772328000,33866.308823,0.0547696772,0.0446207238,85.291241158,34.116496463,1,79.605158414,0.9488836346,0.6130446432,0.3869553568,0.5572217837,0.2851881084,0.1611820013,0.1339825386,1
MN015001,1015001,-73.958808000,40.779560000,43251.703537,0.0322153575,0.0406441718,19.08724781,0,0,95.436239049,0.6628440942,0.2096743614,0.7903256386,0.6011191047,0.1486810552,0.1601941748,0.0520741395,1
MN015002,1015002,-73.956949000,40.782165000,46958.804976,0.0415384615,0.0127191475,32.02100578,0,0,104.06826878,0.7056994309,0.2287526179,0.7712473821,0.6126158232,0.1450463293,0.1871803614,0.0429594272,1
MN015100,1015100,-73.988899000,40.775693000,15108.192642,0.1846305975,0.1010153606,17.044921892,0,0,46.873535202,0.9757565492,0.4221484572,0.5778515428,0.626962963,0.1899259259,0.1018192074,0.5260188972,1
MN015200,1015200,-73.945400000,40.780629000,39518.389292,0.1629930394,0.0824583867,40.038894927,0,0,80.077789853,0.8799289971,0.3267436849,0.6732563151,0.6586093703,0.1354819457,0.1212910696,0.2715298886,1
MN015300,1015300,-73.981705000,40.774823000,52540.422416,0.0538716814,0.0410639291,69.743923561,5.8119936301,1,75.555917191,0.9948620493,0.4641602501,0.5358397499,0.6453012853,0.1827741612,0.1283185841,0.1149336283,1
MN015400,1015400,-73.948074000,40.780931000,73995.999297,0.1021583839,0.0410638771,22.666870669,0,0,56.667176671,0.690898567,0.2220155431,0.7779844569,0.7105513308,0.1283269962,0.0936590596,0.2037831215,1
MN015500,1015500,-73.985075000,40.776598000,47702.196772,0.0359654731,0.029238122,61.000251626,0,0,53.375220173,0.7643592711,0.2572858013,0.7427141987,0.6474714996,0.1786027477,0.3006713555,0.0898337596,1
MN015601,1015601,-73.946693000,40.782787000,70529.201938,0.1047619048,0.0607488871,39.929723686,0,0,26.619815791,0.9153525266,0.3545288058,0.6454711942,0.7292912041,0.1591232565,0.0517078694,0.2753349689,1
MN015602,1015602,-73.947343000,40.786020000,16513.710543,0.4524940618,0.1553228621,37.005513822,0,0,37.005513822,0.9338920517,0.62855733,0.37144267,0.6561181435,0.1856540084,0.0823529412,0.6885154062,1
MN015700,1015700,-73.980046000,40.778278000,59632.877786,0.0784732541,0.0667370087,48.96413649,10.88091922,1,76.16643454,0.5887232716,0.1793456969,0.8206543031,0.7100100243,0.1356150652,0.1372137579,0.1277255725,1
MN015801,1015801,-73.952999000,40.784631000,45758.07507,0.0782219159,0.0449892241,31.535544501,15.76777225,1,94.606633502,0.7195862359,0.2352294559,0.7647705441,0.7239299052,0.1025567366,0.1171605789,0.1037215713,1
MN015802,1015802,-73.949983000,40.785897000,63500.278685,0.1330360461,0.0257847534,39.81208695,39.81208695,1,139.34230432,0.9325013711,0.3700975088,0.6299024912,0.5155316607,0.3160095579,0.2137931034,0.3545454545,1
MN015900,1015900,-73.983156000,40.779642000,61211.047366,0.0669628345,0.0355499127,72.454699346,26.347163399,1,92.215071895,0.6986423647,0.2255197478,0.7744802522,0.682573994,0.1438310609,0.148606478,0.1211664694,1
MN016001,1016001,-73.954618000,40.785314000,33063.021683,0.0246706587,0.0447496677,39.596433153,0,0,110.87001283,0.8707629133,0.3202521998,0.6797478002,0.5809925094,0.140917603,0.1283832335,0.0615568862,1
MN016002,1016002,-73.953186000,40.787266000,62851.689102,0.0873194222,0.0299003322,59.650448373,0,0,99.417413954,0.8453805819,0.3033916214,0.6966083786,0.5545350172,0.2847301952,0.1157861436,0.2850363809,1
MN016100,1016100,-73.978175000,40.780923000,44202.898551,0.041728763,0.0288631455,32.938076416,0,0,59.288537549,0.655236659,0.2064172429,0.7935827571,0.6763443059,0.132897158,0.0923994039,0.1205663189,1
MN016200,1016200,-73.940158000,40.787517000,38399.188304,0.3255237899,0.2029500137,38.143626009,0,0,106.80215283,0.8470995194,0.3044875447,0.6955124553,0.6921428571,0.1621428571,0.105791199,0.8292440648,1
MN016300,1016300,-73.981750000,40.782420000,46508.280325,0.0544247788,0.0410160316,34.272866857,0,0,89.109453828,0.9973305951,0.4741668578,0.5258331422,0.6577092511,0.1482378855,0.150036846,0.1139277819,1
MN016400,1016400,-73.943446000,40.787249000,33348.189415,0.4613310868,0.1671324762,27.855153203,0,0,77.994428969,0.8474722224,0.3047259761,0.6952740239,0.7185545518,0.1209173037,0.103073839,0.7348813899,1
MN016500,1016500,-73.976215000,40.783576000,32508.743663,0.0501662134,0.0551181102,49.121703934,19.648681573,1,44.20953354,0.9955133997,0.4665089553,0.5334910447,0.6911966988,0.0997248968,0.1032033847,0.1364460562,1
MN016600,1016600,-73.949238000,40.789687000,42424.698621,0.3115655853,0.126557377,23.160747166,11.580373583,1,86.852801871,0.9350064992,0.3725308854,0.6274691146,0.7079091621,0.1530931872,0.0717892726,0.6551112324,1
MN016700,1016700,-73.980470000,40.784479000,50176.126377,0.0527304247,0.0401435299,57.86492879,28.932464395,1,130.19608978,0.7399602282,0.2450295253,0.7549704747,0.6690408357,0.1217948718,0.1159002451,0.102926337,1
MN016800,1016800,-73.952063000,40.791718000,20316.027088,0.3463497453,0.1994572592,19.544037603,0,0,83.062159812,0.6244040726,0.8064294076,0.1935705924,0.650137741,0.246097337,0.1563251563,0.6240981241,1
MN016900,1016900,-73.974400000,40.786079000,49775.632348,0.0818542737,0.04345646,40.322812919,11.520803691,1,40.322812919,0.8248907555,0.2907697175,0.7092302825,0.6939968125,0.0917301222,0.1003356093,0.1820391158,1
MN017000,1017000,-73.941548000,40.789807000,43747.351936,0.2762907523,0.1636988441,53.631668428,0,0,58.99483527,0.9082168358,0.3485213181,0.6514786819,0.7556596409,0.1221701795,0.1734706387,0.7073679049,1
MN017100,1017100,-73.978559000,40.786992000,61134.899559,0.0793931206,0.0378056628,57.176981818,12.705995959,1,95.294969696,0.6593070096,0.2081554393,0.7918445607,0.728034188,0.0873504274,0.1120232776,0.1462121999,1
MN017201,1017201,-73.946355000,40.793628000,34101.5625,0.3603665521,0.1551071879,31.25,15.625,1,101.5625,0.989679769,0.449205731,0.550794269,0.7953846154,0.1269230769,0.0753722795,0.7017182131,1
MN017202,1017202,-73.943388000,40.794850000,19089.207735,0.477124183,0.1836158192,0,41.588687877,1,124.76606363,0.9297389736,0.3674660172,0.6325339828,0.5815602837,0.1773049645,0.0294117647,0.9030501089,1
MN017300,1017300,-73.970180000,40.786877000,49409.5215,0.1030594015,0.0358323187,44.08612224,16.53229584,1,44.08612224,0.5315369059,0.1577781808,0.8422218192,0.7107103423,0.0813397129,0.1451037252,0.2109078742,1
MN017401,1017401,-73.949173000,40.795653000,56141.941957,0.2900509205,0.1319246145,28.944118555,0,0,86.832355665,0.9439848483,0.3816623985,0.6183376015,0.6294520548,0.2130136986,0.1728819385,0.7654236123,1
MN017402,1017402,-73.948213000,40.796875000,42469.685431,0.2754098361,0.1176470588,39.052584305,0,0,136.68404507,0.7486117913,0.2493068566,0.7506931434,0.6217532468,0.0827922078,0.0795402299,0.8937931034,1
MN017500,1017500,-73.976509000,40.789547000,63996.992589,0.0613254204,0.0308574973,53.703770005,11.934171112,1,101.44045445,0.745773537,0.2478956253,0.7521043747,0.6983222023,0.0848672422,0.1555244755,0.1391142191,1
MN017700,1017700,-73.970663000,40.791169000,56655.121227,0.1648991474,0.0763075722,35.3431823,0,0,64.795834217,0.7208990214,0.2358499581,0.7641500419,0.6874730951,0.129358588,0.1891245581,0.3843834477,1
MN017800,1017800,-73.932903000,40.794133000,15439.591092,0.3437806072,0.1538885825,22.616588514,0,0,56.541471284,0.9819791493,0.567120881,0.432879119,0.5880776959,0.1125251172,0.0932617188,0.6748046875,1
MN017900,1017900,-73.974622000,40.792077000,69590.386165,0.105191113,0.0246644295,36.638088957,29.310471166,1,131.89712025,0.8074346517,0.2805886578,0.7194113422,0.7122391227,0.1048814998,0.1015057387,0.2325997683,1
